Date,District,PM2.5,PM10,NO2,AirQualityIndex
2024-01-01,Central,33,68,49,84
2024-01-01,Mong Kok,58,91,60,111
2024-01-01,Tai Po,22,36,31,52
2024-01-01,Sha Tin,30,44,36,60
2024-01-01,Tuen Mun,42,62,41,76
2024-01-02,Central,33,51,37,70
2024-01-02,Mong Kok,45,72,66,97
2024-01-02,Tai Po,25,45,30,59
2024-01-02,Sha Tin,44,66,59,90
2024-01-02,Tuen Mun,34,51,40,70
2024-01-03,Central,38,55,38,68
2024-01-03,Mong Kok,46,96,73,116
2024-01-03,Tai Po,28,49,37,69
2024-01-03,Sha Tin,31,56,44,64
2024-01-03,Tuen Mun,46,70,46,79
2024-01-04,Central,38,51,35,68
2024-01-04,Mong Kok,55,101,83,122
2024-01-04,Tai Po,28,38,27,54
2024-01-04,Sha Tin,32,48,42,66
2024-01-04,Tuen Mun,33,57,37,75
2024-01-05,Central,48,62,44,82
2024-01-05,Mong Kok,45,85,54,99
2024-01-05,Tai Po,37,49,38,66
2024-01-05,Sha Tin,46,71,47,81
2024-01-05,Tuen Mun,36,52,41,75
2024-01-06,Central,36,60,40,78
2024-01-06,Mong Kok,62,103,76,125
2024-01-06,Tai Po,33,54,42,75
2024-01-06,Sha Tin,46,71,44,80
2024-01-06,Tuen Mun,52,81,47,91
2024-01-07,Central,27,53,35,59
2024-01-07,Mong Kok,41,88,58,102
2024-01-07,Tai Po,36,51,42,69
2024-01-07,Sha Tin,35,76,56,88
2024-01-07,Tuen Mun,40,67,41,77
2024-01-08,Central,38,62,40,71
2024-01-08,Mong Kok,68,99,82,124
2024-01-08,Tai Po,29,46,29,54
2024-01-08,Sha Tin,40,61,39,77
2024-01-08,Tuen Mun,50,66,58,89
2024-01-09,Central,45,69,48,83
2024-01-09,Mong Kok,60,84,68,117
2024-01-09,Tai Po,33,51,45,71
2024-01-09,Sha Tin,28,58,42,69
2024-01-09,Tuen Mun,38,60,39,71
2024-01-10,Central,46,67,42,79
2024-01-10,Mong Kok,47,84,60,108
2024-01-10,Tai Po,38,57,38,70
2024-01-10,Sha Tin,48,69,45,81
2024-01-10,Tuen Mun,56,71,61,94
2024-01-11,Central,27,55,43,63
