customer_id,age,annual_income,months_active,avg_monthly_spend,purchase_frequency,avg_order_value,discount_usage_rate,return_rate,browsing_time_minutes,support_interactions,payment_method,region,customer_segment
33554,53,100473.21170893354,63,121.43056506459864,0.8172677727505312,66.82040307180874,0.11725603256571582,0.023143977072694676,77.29839307918124,2.0,Card,Semi-Urban,Occasional
9428,54,54730.644845130235,67,572.5526739973803,3.176550640172249,137.0874492674096,0.26164659845386895,0.4290536465716187,92.13256457547102,2.0,Wallet,Urban,Occasional
200,44,58268.12107913869,57,266.5938962650469,2.7131678555589325,71.7968878961216,0.28478452094736956,0.011853929857225786,155.1947682529923,1.0,UPI,Rural,Occasional
12448,54,64829.79565413841,40,691.4523582303511,5.5539771536591145,105.50118531376177,0.10483187289790627,0.399686280061852,113.91775621856496,0.0,Wallet,Rural,High_Value
39490,28,27431.46787327139,15,832.6647922901562,1.3483888484227768,354.56853444411047,0.40920373289902584,0.039516718777561986,50.12365569083919,1.0,Card,Semi-Urban,Occasional
42725,67,13511.061643895573,49,212.41543171933588,1.295646650519839,92.52967205176604,0.43505566405327456,0.18897041442702608,131.10141681722877,1.0,UPI,Semi-Urban,Occasional
10823,50,66876.74328415484,60,453.2533527265212,3.4186207025602506,102.57801772030257,0.10883012175176908,0.016431242131872126,190.57800160831604,2.0,Card,Rural,Occasional
49499,64,,59,193.6487622814437,2.0033752076848277,64.47704628644091,0.22751694976218056,0.12748557226043616,7.365580970053989,1.0,Card,Rural,Occasional
4145,46,62195.52542318222,53,274.825091486872,0.3694136897714731,200.68814379439615,0.25226706411667976,0.1899573411125503,22.635229299483708,1.0,UPI,Urban,Occasional
36959,50,34685.254336158985,39,925.5864886354484,5.61978748895967,139.821178576974,0.18621806752585146,0.19211036171120763,22.47901076001566,3.0,Wallet,Rural,High_Value
43107,45,60650.962195348395,10,519.5444520759468,0.7241679051104851,301.3305435833723,0.5051759616986348,0.1286286219883209,86.00833212434196,2.0,Card,Rural,Occasional
38696,64,85521.1866315621,64,155.88626077135066,6.151184809488701,21.798662029333894,0.3441762542324706,0.05923560647416211,126.654781241275,2.0,Card,Urban,Loyal
6189,38,40270.90586727695,60,58.582597766798834,3.2444258228596,13.802243274292854,0.3004235950989891,0.3026578317514838,73.44758213272384,0.0,Card,Semi-Urban,Regular
1415,25,16280.515318714373,48,71.54113508811407,,18.943225403601172,0.13235253797460267,0.3905357915805484,101.60015765452886,1.0,Card,Semi-Urban,Regular
18472,45,,68,214.0414505358172,3.5651246563045906,46.886222535066764,0.0791653681220587,0.14251979165315787,31.059525733681415,1.0,Wallet,Semi-Urban,Regular
29283,48,36535.45635313846,72,159.70131829441263,3.82862220414103,33.07388972312902,0.3808509966455972,0.11473963591382773,96.59638313352747,0.0,UPI,Urban,Regular
15178,53,29415.392097386066,28,166.73854634729815,1.345540380232831,71.08747636685189,0.07452050877153354,0.20324402675577036,7.897929884953998,1.0,Card,Urban,Occasional
34305,39,33533.93338041808,31,1393.0484932207055,6.093235603685162,196.3911212108861,0.20166400240661855,0.034384080018692316,77.85028888577091,1.0,Card,Urban,Occasional
12610,23,34947.61982180756,61,321.8988409933177,4.449280956002629,59.07180114079668,0.370889348480571,0.028233954566743654,63.64166031277856,1.0,UPI,Urban,Loyal
12145,26,29991.298249068786,22,163.51192487297936,,19.999505476593487,,0.2923653692434396,,3.0,Card,Urban,Regular
